# Gui Licenses
| Package Name | License |
| jupyter_client | BSD LICENSE |
| jupyter_core | BSD LICENSE |
| jupyter_server | BSD LICENSE |
| jupyter_server_terminals | BSD LICENSE |
| jupyterlab_pygments | BSD LICENSE |
| jupyterlab_widgets | BSD LICENSE |
| keras | APACHE LICENSE 2.0 |
| kiwisolver | BSD LICENSE |
| langchain | MIT |
| langchain-anthropic | MIT |
| langchain-aws | MIT LICENSE |
| langchain-cohere | MIT LICENSE |
| langchain-community | MIT |
| langchain-core | MIT |
| langchain-google-genai | MIT LICENSE |
| langchain-mistralai | MIT |
| langchain-nvidia-ai-endpoints | MIT LICENSE |
| langchain-ollama | MIT LICENSE |
| langchain-openai | MIT |
| langchain-text-splitters | MIT |
| langsmith | MIT LICENSE |
| llvmlite | BSD |
| locket | BSD LICENSE |
| lxml | BSD LICENSE |
| markdown-it-py | MIT LICENSE |
| markdownlit | Apache License 2.0 |
| marshmallow | MIT LICENSE |
| matplotlib | PYTHON SOFTWARE FOUNDATION LICENSE |
| matplotlib-inline | BSD LICENSE |
| mdurl | MIT LICENSE |
| mistune | BSD LICENSE |
| ml_dtypes | APACHE SOFTWARE LICENSE |
| mlflow | APACHE SOFTWARE LICENSE |
| mlflow-skinny | APACHE SOFTWARE LICENSE |
| msgpack | APACHE SOFTWARE LICENSE |
| multidict | APACHE SOFTWARE LICENSE |
| multimethod | APACHE SOFTWARE LICENSE |
| multiprocess | BSD LICENSE |
| multivolumefile | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| mypy-extensions | MIT LICENSE |
| namex | Apache License 2.0 |
| narwhals | MIT LICENSE |
| nbclient | BSD LICENSE |
| nbconvert | BSD LICENSE |
| nbformat | BSD LICENSE |
| networkx | BSD LICENSE |
| numba | BSD LICENSE |
| numpy | BSD LICENSE |
| ollama | MIT LICENSE |
| openai | APACHE SOFTWARE LICENSE |
| opentelemetry-api | APACHE SOFTWARE LICENSE |
| opentelemetry-sdk | APACHE SOFTWARE LICENSE |
| opentelemetry-semantic-conventions | APACHE SOFTWARE LICENSE |
| optree | APACHE SOFTWARE LICENSE |
| orjson | APACHE SOFTWARE LICENSE;; MIT LICENSE |
| overrides | APACHE LICENSE_ VERSION 2.0 |
| packaging | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| pandas | BSD LICENSE |
| pandas-profiling | MIT LICENSE |
| pandocfilters | BSD LICENSE |
| paramiko | GNU LIBRARY;; LESSER GENERAL PUBLIC LICENSE _LGPL_ |
| parso | MIT LICENSE |
| partd | BSD |
| pathspec | MOZILLA PUBLIC LICENSE 2.0 _MPL 2.0_ |
| patsy | BSD LICENSE |
| pexpect | ISC LICENSE _ISCL_ |
| phik | MIT LICENSE |
| pillow | CMU LICENSE _MIT-CMU_ |
| platformdirs | MIT LICENSE |
| plotly | MIT LICENSE |
| ply | BSD |
| polars | MIT LICENSE |
| prometheus_client | APACHE SOFTWARE LICENSE |
| prompt_toolkit | BSD LICENSE |
| propcache | APACHE SOFTWARE LICENSE |
| proto-plus | APACHE SOFTWARE LICENSE |
| protobuf | 3-CLAUSE BSD LICENSE |
| psutil | BSD LICENSE |
| ptyprocess | ISC LICENSE _ISCL_ |
| pure_eval | MIT LICENSE |
| py7zr | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| pyarrow | APACHE SOFTWARE LICENSE |
| pyasn1 | BSD LICENSE |
| pyasn1_modules | BSD LICENSE |
| pybcj | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| pycparser | BSD LICENSE |
| pycryptodome | BSD LICENSE;; PUBLIC DOMAIN |
| pycryptodomex | BSD LICENSE;; PUBLIC DOMAIN |
| pydantic | MIT LICENSE |
| pydantic-settings | MIT LICENSE |
| pydantic_core | MIT LICENSE |
| pydeck | APACHE LICENSE 2.0 |
| pymdown-extensions | MIT LICENSE |
| pyparsing | MIT LICENSE |
| pypdf | BSD LICENSE |
| pyppmd | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| python-dateutil | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| python-dotenv | BSD LICENSE |
| python-json-logger | BSD LICENSE |
| pytz | MIT LICENSE |
| pyzmq | BSD LICENSE |
| pyzstd | BSD LICENSE |
| qianfan | APACHE SOFTWARE LICENSE |
| referencing | MIT License |
| regex | APACHE SOFTWARE LICENSE |
| requests | APACHE SOFTWARE LICENSE |
| requests-toolbelt | APACHE SOFTWARE LICENSE |
| rfc3339-validator | MIT LICENSE |
| rfc3986-validator | MIT LICENSE |
| rich | MIT LICENSE |
| rpds-py | MIT |
| rsa | APACHE SOFTWARE LICENSE |
| s3transfer | APACHE SOFTWARE LICENSE |
| scikit-learn | BSD LICENSE |
| scipy | BSD LICENSE |
| scp | GNU LIBRARY;; LESSER GENERAL PUBLIC LICENSE _LGPL_ |
| seaborn | BSD LICENSE |
| sentencepiece | APACHE SOFTWARE LICENSE |
| setuptools | MIT LICENSE |
| sgmllib3k | BSD LICENSE |
| shellingham | ISC LICENSE _ISCL_ |
| six | MIT LICENSE |
| smmap | BSD LICENSE |
| sniffio | APACHE SOFTWARE LICENSE;; MIT LICENSE |
| sortedcontainers | APACHE SOFTWARE LICENSE |
| soupsieve | MIT LICENSE |
| sqlparse | BSD LICENSE |
| st-annotated-text | APACHE SOFTWARE LICENSE |
| st-theme | MIT LICENSE |
| stack-data | MIT LICENSE |
| starlette | BSD LICENSE |
| statsmodels | BSD LICENSE |
| streamlit | APACHE SOFTWARE LICENSE |
| streamlit-avatar | UNKNOWN |
| streamlit-camera-input-live | MIT License |
| streamlit-card | MIT LICENSE |
| streamlit-code-editor | MIT License |
| streamlit-embedcode | MIT License |
| streamlit-extras | APACHE SOFTWARE LICENSE |
| streamlit-faker | Apache License 2.0 |
| streamlit-image-coordinates | MIT LICENSE |
| streamlit-keyup | MIT License |
| streamlit-modal | BSD |
| streamlit-pandas-profiling | MIT |
| streamlit-toggle-switch | MIT License |
| streamlit-vertical-slider | MIT License |
| tabulate | MIT LICENSE |
| tblib | BSD LICENSE |
| tenacity | APACHE SOFTWARE LICENSE |
| terminado | BSD LICENSE |
| texttable | MIT LICENSE |
| threadpoolctl | BSD LICENSE |
| tiktoken | MIT LICENSE |
| tinycss2 | BSD LICENSE |
| together | APACHE SOFTWARE LICENSE |
| tokenizers | APACHE SOFTWARE LICENSE |
| toml | MIT LICENSE |
| tomli_w | MIT LICENSE |
| toolz | BSD LICENSE |
| tornado | APACHE SOFTWARE LICENSE |
| tqdm | MIT LICENSE;; MOZILLA PUBLIC LICENSE 2.0 _MPL 2.0_ |
| traitlets | BSD LICENSE |
| typeguard | MIT LICENSE |
| typer | MIT LICENSE |
| types-PyYAML | APACHE SOFTWARE LICENSE |
| types-python-dateutil | APACHE SOFTWARE LICENSE |
| types-requests | APACHE SOFTWARE LICENSE |
| typing-inspect | MIT LICENSE |
| typing_extensions | PYTHON SOFTWARE FOUNDATION LICENSE |
| tzdata | APACHE SOFTWARE LICENSE |
| uri-template | MIT LICENSE |
| urllib3 | MIT LICENSE |
| uvicorn | BSD LICENSE |
| validators | MIT LICENSE |
| visions | BSD LICENSE |
| watchdog | APACHE SOFTWARE LICENSE |
| wcwidth | MIT LICENSE |
| webcolors | BSD LICENSE |
| webencodings | BSD LICENSE |
| websocket-client | APACHE SOFTWARE LICENSE |
| widgetsnbextension | BSD LICENSE |
| wordcloud | MIT LICENSE |
| wrapt | BSD LICENSE |
| yarl | APACHE SOFTWARE LICENSE |
| ydata | MIT LICENSE |
| ydata-profiling | MIT LICENSE |
| zict | BSD LICENSE |
| zipp | MIT LICENSE |
| zstandard | BSD LICENSE |
