# Gui Licenses
| Package Name | License |
| pure-eval | MIT LICENSE |
| py7zr | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| pyarrow | APACHE SOFTWARE LICENSE |
| pyasn1 | BSD LICENSE |
| pyasn1-modules | BSD LICENSE |
| pybcj | GNU LESSER GENERAL PUBLIC LICENSE V2;; LATER _LGPLV2__ |
| pycparser | BSD LICENSE |
| pycryptodome | BSD LICENSE;; PUBLIC DOMAIN |
| pycryptodomex | BSD LICENSE;; PUBLIC DOMAIN |
| pydantic | MIT LICENSE |
| pydantic-core | MIT LICENSE |
| pydantic-settings | MIT LICENSE |
| pydeck | APACHE LICENSE 2.0 |
| pygments | BSD LICENSE |
| pymdown-extensions | MIT LICENSE |
| pynacl | APACHE LICENSE 2.0 |
| pyparsing | MIT LICENSE |
| pypdf | BSD LICENSE |
| pyppmd | LGPL-2.1-OR-LATER |
| pytest | MIT LICENSE |
| pytest-asyncio | APACHE-2.0 |
| python-dateutil | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| python-dotenv | BSD LICENSE |
| python-json-logger | BSD LICENSE |
| pytz | MIT LICENSE |
| pyyaml | MIT LICENSE |
| pyzmq | BSD LICENSE |
| pyzstd | BSD LICENSE |
| qianfan | APACHE SOFTWARE LICENSE |
| referencing | MIT License |
| regex | APACHE SOFTWARE LICENSE |
| requests | APACHE SOFTWARE LICENSE |
| requests-toolbelt | APACHE SOFTWARE LICENSE |
| rfc3339-validator | MIT LICENSE |
| rfc3986-validator | MIT LICENSE |
| rich | MIT LICENSE |
| rpds-py | MIT |
| rsa | APACHE SOFTWARE LICENSE |
| s3transfer | APACHE SOFTWARE LICENSE |
| scikit-learn | BSD LICENSE |
| scipy | BSD LICENSE |
| scp | GNU LIBRARY;; LESSER GENERAL PUBLIC LICENSE _LGPL_ |
| seaborn | BSD LICENSE |
| send2trash | BSD LICENSE |
| setuptools | MIT |
| sgmllib3k | BSD LICENSE |
| shellingham | ISC LICENSE _ISCL_ |
| six | MIT LICENSE |
| smmap | BSD LICENSE |
| sniffio | APACHE SOFTWARE LICENSE;; MIT LICENSE |
| sortedcontainers | APACHE SOFTWARE LICENSE |
| soupsieve | MIT LICENSE |
| sqlalchemy | MIT |
| sqlparse | BSD LICENSE |
| st-annotated-text | APACHE SOFTWARE LICENSE |
| st-theme | MIT LICENSE |
| stack-data | MIT LICENSE |
| starlette | BSD LICENSE |
| streamlit | APACHE SOFTWARE LICENSE |
| streamlit-avatar |  |
| streamlit-camera-input-live | MIT License |
| streamlit-card | MIT LICENSE |
| streamlit-code-editor | MIT License |
| streamlit-embedcode | MIT License |
| streamlit-extras | APACHE SOFTWARE LICENSE |
| streamlit-faker | Apache License 2.0 |
| streamlit-image-coordinates | MIT LICENSE |
| streamlit-keyup | MIT License |
| streamlit-modal | BSD |
| streamlit-toggle-switch | MIT License |
| streamlit-vertical-slider | MIT License |
| tabulate | MIT LICENSE |
| tblib | BSD-2-CLAUSE |
| tenacity | APACHE SOFTWARE LICENSE |
| terminado | BSD LICENSE |
| texttable | MIT LICENSE |
| threadpoolctl | BSD LICENSE |
| tiktoken | MIT LICENSE |
| tinycss2 | BSD LICENSE |
| together | APACHE SOFTWARE LICENSE |
| tokenizers | APACHE SOFTWARE LICENSE |
| toml | MIT LICENSE |
| tomli | MIT LICENSE |
| tomli-w | MIT LICENSE |
| tomlkit | MIT LICENSE |
| toolz | BSD LICENSE |
| tornado | APACHE SOFTWARE LICENSE |
| tqdm | MIT LICENSE;; MOZILLA PUBLIC LICENSE 2.0 _MPL 2.0_ |
| traitlets | BSD LICENSE |
| typer | MIT LICENSE |
| types-python-dateutil | APACHE-2.0 |
| types-pyyaml | APACHE-2.0 |
| types-requests | APACHE-2.0 |
| typing-extensions | PSF-2.0 |
| typing-inspect | MIT LICENSE |
| typing-inspection | MIT |
| tzdata | APACHE SOFTWARE LICENSE |
| uri-template | MIT LICENSE |
| urllib3 | MIT |
| uvicorn | BSD LICENSE |
| validators | MIT LICENSE |
| watchdog | APACHE SOFTWARE LICENSE |
| wcwidth | MIT LICENSE |
| webcolors | BSD LICENSE |
| webencodings | BSD LICENSE |
| websocket-client | APACHE SOFTWARE LICENSE |
| werkzeug | BSD LICENSE |
| wheel | MIT LICENSE |
| widgetsnbextension | BSD LICENSE |
| yarl | APACHE SOFTWARE LICENSE |
| ydata | MIT LICENSE |
| zict | BSD LICENSE |
| zipp | MIT |
| zstandard | BSD LICENSE |
