command	count	first_seen_utc	last_seen_utc	workdir_count	source_log_count	examples
bash -lc ls docs	6	2025-11-08T08:52:26.313000+00:00	2025-11-14T08:07:15.621000+00:00	2	4	bash -lc ls docs
bash -lc ls docs/source	6	2025-11-08T08:52:24.940000+00:00	2025-11-14T08:08:34.025000+00:00	2	3	bash -lc ls docs/source
bash -lc rg -n "_persist_execute_snippet" 'src/agilab/pages/▶️ EXECUTE.py'	6	2025-11-10T12:46:17.034000+00:00	2025-11-10T12:48:23.692000+00:00	1	1	bash -lc rg -n "_persist_execute_snippet" 'src/agilab/pages/▶️ EXECUTE.py'
bash -lc rg -n "home_abs" -n src/agilab/core/agi-env/src/agi_env/agi_env.py	6	2025-11-07T17:01:52.187000+00:00	2025-11-13T12:17:42.808000+00:00	2	6	bash -lc rg -n "home_abs" -n src/agilab/core/agi-env/src/agi_env/agi_env.py
/bin/zsh -lc /Users/agi/PycharmProjects/agilab/src/agilab/apps/flight_project/.venv/bin/python src/agilab/examples/flight/AGI_run_flight.py	5	2025-11-06T16:17:59.940000+00:00	2025-11-06T17:37:19.158000+00:00	1	1	/bin/zsh -lc /Users/agi/PycharmProjects/agilab/src/agilab/apps/flight_project/.venv/bin/python src/agilab/examples/flight/AGI_run_flight.py
bash -lc git commit -m "chore: externalize mistral offline data"	5	2025-11-13T15:40:12.021000+00:00	2025-11-13T16:00:52.470000+00:00	2	1	bash -lc git commit -m "chore: externalize mistral offline data"
bash -lc git diff src/agilab/examples/flight_trajectory/AGI_run_flight_trajectory.py	5	2025-11-07T18:08:07.010000+00:00	2025-11-07T18:09:50.963000+00:00	1	1	bash -lc git diff src/agilab/examples/flight_trajectory/AGI_run_flight_trajectory.py
bash -lc git remote -v	5	2025-11-13T15:40:24.412000+00:00	2025-11-13T17:58:02.475000+00:00	2	2	bash -lc git remote -v
bash -lc git remote add origin https://github.com/ThalesGroup/agilab.git	5	2025-11-13T15:37:10.668000+00:00	2025-11-13T16:06:01.435000+00:00	2	1	bash -lc git remote add origin https://github.com/ThalesGroup/agilab.git
bash -lc ls codex	5	2025-11-13T10:31:20.883000+00:00	2025-11-14T09:11:57.964000+00:00	1	2	bash -lc ls codex
bash -lc mkdir -p src/agilab/core/agi-env/src/agi_env/resources/mistral_offline/data	5	2025-11-13T15:38:38.317000+00:00	2025-11-13T16:00:28.856000+00:00	1	1	bash -lc mkdir -p src/agilab/core/agi-env/src/agi_env/resources/mistral_offline/data
bash -lc touch src/agilab/core/agi-env/src/agi_env/resources/mistral_offline/data/.gitkeep	5	2025-11-13T15:38:52.270000+00:00	2025-11-13T16:00:40.457000+00:00	1	1	bash -lc touch src/agilab/core/agi-env/src/agi_env/resources/mistral_offline/data/.gitkeep
/bin/zsh -lc ~/.local/bin/uv --quiet run python pycharm/setup_pycharm.py	4	2025-11-06T15:14:01.543000+00:00	2025-11-06T15:26:39.121000+00:00	1	1	/bin/zsh -lc ~/.local/bin/uv --quiet run python pycharm/setup_pycharm.py
bash -lc cat <<'EOF' > src/agilab/core/agi-env/src/agi_env/resources/mistral_offline/data/.gitignore * !.gitignore !.gitkeep EOF	4	2025-11-13T15:44:15.129000+00:00	2025-11-13T16:00:35.561000+00:00	1	1	bash -lc cat <<'EOF' > src/agilab/core/agi-env/src/agi_env/resources/mistral_offline/data/.gitignore * !.gitignore !.gitkeep EOF
bash -lc cd /Users/agi/PycharmProjects/agilab && python3 -m py_compile src/agilab/apps/flight_trajectory_project/src/flight_trajectory/flight_trajectory.py src/agilab/apps/flight_trajectory_project/src/flight_trajectory/flight_trajectory_args.py src/agilab/apps/flight_trajectory_project/src/flight_trajectory_worker/flight_trajectory_worker.py src/agilab/apps/flight_trajectory_project/src/app_args_form.py src/agilab/apps/link_sim_project/src/link_sim/link_sim.py src/agilab/apps/link_sim_project/src/link_sim/link_sim_args.py src/agilab/apps/link_sim_project/src/link_sim_worker/link_sim_worker.py src/agilab/apps/link_sim_project/src/app_args_form.py	4	2025-11-07T15:04:20.065000+00:00	2025-11-07T15:34:29.985000+00:00	2	1	bash -lc cd /Users/agi/PycharmProjects/agilab && python3 -m py_compile src/agilab/apps/flight_trajectory_project/src/flight_trajectory/flight_trajectory.py src/agilab/apps/flight_trajectory_project/src/flight_trajectory/flight_trajectory_args.py src/agilab/apps/flight_trajectory_project/src/flight_trajectory_worker/flight_trajectory_worker.py src/agilab/apps/flight_trajectory_project/src/app_args_form.py src/agilab/apps/link_sim_project/src/link_sim/link_sim.py src/agilab/apps/link_sim_project/src/link_sim/link_sim_args.py src/agilab/apps/link_sim_project/src/link_sim_worker/link_sim_worker.py src/agilab/apps/link_sim_project/src/app_args_form.py
bash -lc cd /Users/agi/PycharmProjects/agilab && rg -n "data_uri" src/agilab/apps/link_sim_project/src/link_sim/link_sim.py	4	2025-11-07T15:30:27.556000+00:00	2025-11-07T15:31:27.415000+00:00	1	1	bash -lc cd /Users/agi/PycharmProjects/agilab && rg -n "data_uri" src/agilab/apps/link_sim_project/src/link_sim/link_sim.py
bash -lc cd /Users/agi/PycharmProjects/agilab && rg -n "data_uri" src/agilab/apps/sat_trajectory_project	4	2025-11-07T14:57:47.198000+00:00	2025-11-07T15:00:05.142000+00:00	2	1	bash -lc cd /Users/agi/PycharmProjects/agilab && rg -n "data_uri" src/agilab/apps/sat_trajectory_project
bash -lc git add src/agilab/core/agi-env/src/agi_env/resources/mistral_offline/data/.gitignore src/agilab/core/agi-env/src/agi_env/resources/mistral_offline/data/.gitkeep	4	2025-11-13T15:44:29.338000+00:00	2025-11-13T16:00:45.903000+00:00	2	1	bash -lc git add src/agilab/core/agi-env/src/agi_env/resources/mistral_offline/data/.gitignore src/agilab/core/agi-env/src/agi_env/resources/mistral_offline/data/.gitkeep
bash -lc git push origin :refs/tags/v2025.11.13	4	2025-11-13T17:25:51.805000+00:00	2025-11-13T17:58:45.190000+00:00	2	2	bash -lc git push origin :refs/tags/v2025.11.13
bash -lc git tag -d v2025.11.13	4	2025-11-13T17:25:47.729000+00:00	2025-11-13T17:58:29.825000+00:00	2	2	bash -lc git tag -d v2025.11.13
bash -lc ls /Users/agi/PycharmProjects	4	2025-11-07T17:47:20.656000+00:00	2025-11-13T17:58:13.808000+00:00	1	4	bash -lc ls /Users/agi/PycharmProjects
bash -lc ls src/agilab/examples	4	2025-11-10T10:34:27.102000+00:00	2025-11-13T15:52:24.657000+00:00	1	3	bash -lc ls src/agilab/examples
bash -lc pwd	4	2025-11-07T18:00:10.100000+00:00	2025-11-13T16:36:38.108000+00:00	2	3	bash -lc pwd
bash -lc python3 -m git_filter_repo --force --path-glob '*/mistral_offline/data/**' --path-glob '*/.agilab/pdfs/**' --invert-paths	4	2025-11-13T15:46:03.802000+00:00	2025-11-13T15:59:50.323000+00:00	2	1	bash -lc python3 -m git_filter_repo --force --path-glob '*/mistral_offline/data/**' --path-glob '*/.agilab/pdfs/**' --invert-paths
bash -lc sed -n '1,200p' pycharm/setup_pycharm.py	4	2025-11-07T17:23:49.467000+00:00	2025-11-13T12:04:27.697000+00:00	1	4	bash -lc sed -n '1,200p' pycharm/setup_pycharm.py
bash -lc sed -n '1,200p' src/agilab/examples/flight_trajectory/AGI_run_flight_trajectory.py	4	2025-11-07T18:07:33.122000+00:00	2025-11-13T09:04:16.187000+00:00	2	3	bash -lc sed -n '1,200p' src/agilab/examples/flight_trajectory/AGI_run_flight_trajectory.py
bash -lc /tmp/ssh_run_jpm.expect 192.168.3.86 hostname	3	2025-11-08T09:14:14.857000+00:00	2025-11-08T09:28:23.588000+00:00	1	1	bash -lc /tmp/ssh_run_jpm.expect 192.168.3.86 hostname
bash -lc cat ~/.agilab/.env	3	2025-11-07T17:05:28.854000+00:00	2025-11-10T08:40:48.416000+00:00	1	3	bash -lc cat ~/.agilab/.env
bash -lc cat ~/.local/share/agilab/.env	3	2025-11-07T16:57:14.236000+00:00	2025-11-13T17:13:16.240000+00:00	2	3	bash -lc cat ~/.local/share/agilab/.env
bash -lc cd /Users/agi/PycharmProjects/agilab && python3 -m py_compile src/agilab/apps/sb3_trainer_project/src/app_args_form.py	3	2025-11-07T13:45:27.853000+00:00	2025-11-07T13:55:48.473000+00:00	1	1	bash -lc cd /Users/agi/PycharmProjects/agilab && python3 -m py_compile src/agilab/apps/sb3_trainer_project/src/app_args_form.py
bash -lc cd /Users/agi/PycharmProjects/agilab && uv run python src/agilab/examples/flight_trajectory/AGI_run_flight_trajectory.py	3	2025-11-08T10:23:33.058000+00:00	2025-11-08T10:24:29.682000+00:00	1	1	bash -lc cd /Users/agi/PycharmProjects/agilab && uv run python src/agilab/examples/flight_trajectory/AGI_run_flight_trajectory.py
bash -lc find docs/source -maxdepth 2 -type f | head	3	2025-11-13T16:17:01.455000+00:00	2025-11-13T16:22:17.728000+00:00	1	1	bash -lc find docs/source -maxdepth 2 -type f | head
bash -lc git gc --prune=now --aggressive	3	2025-11-13T15:41:04.508000+00:00	2025-11-13T15:41:52.359000+00:00	1	1	bash -lc git gc --prune=now --aggressive
bash -lc git push --force origin main	3	2025-11-13T15:54:08.971000+00:00	2025-11-13T16:06:16.596000+00:00	2	1	bash -lc git push --force origin main
bash -lc ls /Users/agi/clustershare/flight_trajectory	3	2025-11-07T18:07:44.910000+00:00	2025-11-13T12:50:30.582000+00:00	2	3	bash -lc ls /Users/agi/clustershare/flight_trajectory
bash -lc ls src/agilab	3	2025-11-08T09:53:05.159000+00:00	2025-11-13T17:11:12.328000+00:00	2	2	bash -lc ls src/agilab
bash -lc ls src/agilab/apps/flight_project	3	2025-11-10T17:38:57.140000+00:00	2025-11-13T08:44:53.804000+00:00	1	3	bash -lc ls src/agilab/apps/flight_project
bash -lc ls src/agilab/examples/flight	3	2025-11-12T09:22:32.557000+00:00	2025-11-13T15:52:33.938000+00:00	2	2	bash -lc ls src/agilab/examples/flight
bash -lc ls src/agilab/pages	3	2025-11-07T08:27:35.468000+00:00	2025-11-10T10:01:12.961000+00:00	1	3	bash -lc ls src/agilab/pages
bash -lc ls ~/clustershare	3	2025-11-08T09:06:02.503000+00:00	2025-11-12T05:34:48.673000+00:00	1	3	bash -lc ls ~/clustershare
bash -lc python3 -m py_compile src/agilab/apps/install.py src/agilab/core/agi-env/src/agi_env/agi_env.py	3	2025-11-11T13:02:27.719000+00:00	2025-11-11T13:29:55.570000+00:00	1	1	bash -lc python3 -m py_compile src/agilab/apps/install.py src/agilab/core/agi-env/src/agi_env/agi_env.py
bash -lc rg -n "clustershare" -n	3	2025-11-07T18:11:15.386000+00:00	2025-11-12T05:32:08.861000+00:00	1	3	bash -lc rg -n "clustershare" -n
bash -lc rg -n "data_uri"	3	2025-11-07T09:10:44.928000+00:00	2025-11-07T10:19:25.372000+00:00	1	1	bash -lc rg -n "data_uri"
bash -lc rg -n "data_uri" src	3	2025-11-07T09:10:53.756000+00:00	2025-11-07T09:11:57.301000+00:00	1	1	bash -lc rg -n "data_uri" src
bash -lc rg -n "def unzip_data" -n src/agilab/core/agi-env/src/agi_env/agi_env.py	3	2025-11-07T18:18:08.020000+00:00	2025-11-12T12:37:49.949000+00:00	2	3	bash -lc rg -n "def unzip_data" -n src/agilab/core/agi-env/src/agi_env/agi_env.py
bash -lc rg -n "home_abs" src/agilab/apps -g '*.py'	3	2025-11-07T08:45:05.043000+00:00	2025-11-07T09:38:45.700000+00:00	1	1	bash -lc rg -n "home_abs" src/agilab/apps -g '*.py'
bash -lc rg -n "normalize_path" src/agilab/apps/flight_trajectory_project/src/flight_trajectory_worker/flight_trajectory_worker.py	3	2025-11-12T10:36:23.403000+00:00	2025-11-12T10:36:48.754000+00:00	1	1	bash -lc rg -n "normalize_path" src/agilab/apps/flight_trajectory_project/src/flight_trajectory_worker/flight_trajectory_worker.py
bash -lc rm -f /Users/agi/wenv/dask_scheduler.pid	3	2025-11-13T12:15:43.754000+00:00	2025-11-13T12:32:34.567000+00:00	1	1	bash -lc rm -f /Users/agi/wenv/dask_scheduler.pid
bash -lc rm -rf .git/refs/original && git reflog expire --expire=now --all && git gc --prune=now --aggressive	3	2025-11-13T15:45:05.687000+00:00	2025-11-13T15:49:11.063000+00:00	1	1	bash -lc rm -rf .git/refs/original && git reflog expire --expire=now --all && git gc --prune=now --aggressive
bash -lc sed -n '1,200p' docs/gen-docs.py	3	2025-11-13T16:16:38.617000+00:00	2025-11-14T08:09:18.549000+00:00	2	2	bash -lc sed -n '1,200p' docs/gen-docs.py
bash -lc sed -n '1,200p' pycharm/gen_app_script.py	3	2025-11-07T17:24:27.890000+00:00	2025-11-12T09:23:05.439000+00:00	1	3	bash -lc sed -n '1,200p' pycharm/gen_app_script.py
bash -lc sed -n '1,200p' src/agilab/apps/flight_trajectory_project/src/flight_trajectory/flight_trajectory.py	3	2025-11-07T18:10:48.202000+00:00	2025-11-10T17:50:03.634000+00:00	1	3	bash -lc sed -n '1,200p' src/agilab/apps/flight_trajectory_project/src/flight_trajectory/flight_trajectory.py
bash -lc sed -n '1,200p' src/agilab/apps/flight_trajectory_project/src/flight_trajectory/flight_trajectory_args.py	3	2025-11-07T18:10:50.444000+00:00	2025-11-10T18:28:22.285000+00:00	1	2	bash -lc sed -n '1,200p' src/agilab/apps/flight_trajectory_project/src/flight_trajectory/flight_trajectory_args.py
bash -lc sed -n '1,200p' src/agilab/apps/install.py	3	2025-11-11T12:47:06.235000+00:00	2025-11-12T09:22:27.162000+00:00	1	3	bash -lc sed -n '1,200p' src/agilab/apps/install.py
bash -lc sed -n '1,200p' src/agilab/apps/link_sim_project/src/app_args_form.py	3	2025-11-10T16:00:30.917000+00:00	2025-11-13T08:49:47.572000+00:00	2	2	bash -lc sed -n '1,200p' src/agilab/apps/link_sim_project/src/app_args_form.py
bash -lc sed -n '1,200p' src/agilab/examples/flight_trajectory/AGI_install_flight_trajectory.py	3	2025-11-07T17:00:33.238000+00:00	2025-11-10T18:07:17.010000+00:00	1	3	bash -lc sed -n '1,200p' src/agilab/examples/flight_trajectory/AGI_install_flight_trajectory.py
bash -lc sed -n '1,220p' codex/codex_shell_summary.md	3	2025-11-14T09:21:37.991000+00:00	2025-11-14T09:23:42.297000+00:00	1	1	bash -lc sed -n '1,220p' codex/codex_shell_summary.md
bash -lc sed -n '40,120p' src/agilab/apps/network_sim_project/src/app_args_form.py	3	2025-11-07T08:47:50.791000+00:00	2025-11-07T09:59:08.177000+00:00	2	1	bash -lc sed -n '40,120p' src/agilab/apps/network_sim_project/src/app_args_form.py
bash -lc sed -n '420,520p' src/agilab/core/agi-env/src/agi_env/agi_env.py	3	2025-11-07T17:01:56.610000+00:00	2025-11-12T05:27:17.939000+00:00	1	3	bash -lc sed -n '420,520p' src/agilab/core/agi-env/src/agi_env/agi_env.py
bash -lc ssh -o BatchMode=yes agi@192.168.3.86 hostname	3	2025-11-08T09:03:19.572000+00:00	2025-11-08T09:30:00.066000+00:00	2	1	bash -lc ssh -o BatchMode=yes agi@192.168.3.86 hostname
bash -lc ssh agi@192.168.20.111 'grep -n 192.168.20.111_CMD_PREFIX ~/.agilab/.env'	3	2025-11-07T17:33:11.700000+00:00	2025-11-07T17:46:04.274000+00:00	2	1	bash -lc ssh agi@192.168.20.111 'grep -n 192.168.20.111_CMD_PREFIX ~/.agilab/.env'
bash -lc ssh agi@192.168.20.130 'ls -l /home/agi/data/flight_trajectory'	3	2025-11-07T17:01:49.307000+00:00	2025-11-07T17:02:20.555000+00:00	1	1	bash -lc ssh agi@192.168.20.130 'ls -l /home/agi/data/flight_trajectory'
bash -lc uv --preview-features extra-build-dependencies run python tools/export_codex_shell_stats.py	3	2025-11-13T10:28:58.753000+00:00	2025-11-13T10:35:05.697000+00:00	1	1	bash -lc uv --preview-features extra-build-dependencies run python tools/export_codex_shell_stats.py
bash -lc uv run pytest src/agilab/core/agi-env/test/test_agi_env.py	3	2025-11-13T07:16:05.943000+00:00	2025-11-13T07:17:23.610000+00:00	1	1	bash -lc uv run pytest src/agilab/core/agi-env/test/test_agi_env.py
bash -lc uv run python docs/gen-docs.py	3	2025-11-13T17:12:04.553000+00:00	2025-11-13T17:18:57.954000+00:00	1	1	bash -lc uv run python docs/gen-docs.py
/bin/zsh -lc nl -ba "src/agilab/pages/▶️ EXECUTE.py" | sed -n '1320,1520p'	2	2025-11-06T14:34:55.512000+00:00	2025-11-06T14:37:52.839000+00:00	1	1	/bin/zsh -lc nl -ba "src/agilab/pages/▶️ EXECUTE.py" | sed -n '1320,1520p'
/bin/zsh -lc nl -ba src/agilab/core/agi-cluster/src/agi_cluster/agi_distributor/agi_distributor.py | sed -n '1736,1750p'	2	2025-11-06T14:48:23.931000+00:00	2025-11-06T14:49:13.689000+00:00	1	1	/bin/zsh -lc nl -ba src/agilab/core/agi-cluster/src/agi_cluster/agi_distributor/agi_distributor.py | sed -n '1736,1750p'
/bin/zsh -lc rg --files -g 'install.sh'	2	2025-11-06T14:24:30.680000+00:00	2025-11-06T14:24:34.933000+00:00	2	1	/bin/zsh -lc rg --files -g 'install.sh'
/bin/zsh -lc rg -n 'uv \(flight_project\)' .idea/modules/flight_project.iml	2	2025-11-06T15:26:59.302000+00:00	2025-11-06T15:27:11.266000+00:00	2	1	/bin/zsh -lc rg -n 'uv \(flight_project\)' .idea/modules/flight_project.iml
bash -lc /tmp/ssh_run_jpm.expect 192.168.3.86 "sudo -u agi /bin/bash -lc 'mkdir -p ~/.ssh && chmod 700 ~/.ssh'"	2	2025-11-08T09:28:40.176000+00:00	2025-11-08T09:28:48.940000+00:00	1	1	bash -lc /tmp/ssh_run_jpm.expect 192.168.3.86 "sudo -u agi /bin/bash -lc 'mkdir -p ~/.ssh && chmod 700 ~/.ssh'"
bash -lc AGILAB_FORCE_DATA_REFRESH=1 uv run python - <<'PY' from pathlib import Path from agi_env import AgiEnv active_app = Path('src/agilab/apps/flight_trajectory_project').resolve() AgiEnv(active_app=active_app, verbose=True) PY	2	2025-11-12T12:41:52.767000+00:00	2025-11-12T12:43:18.248000+00:00	1	1	bash -lc AGILAB_FORCE_DATA_REFRESH=1 uv run python - <<'PY' from pathlib import Path from agi_env import AgiEnv active_app = Path('src/agilab/apps/flight_trajectory_project').resolve() AgiEnv(active_app=active_app, verbose=True) PY
bash -lc PYTHONPATH=src:src/agilab/core/agi-node/src python3 - <<'PY' from types import SimpleNamespace from pathlib import Path from agi_node.agi_dispatcher.base_worker import BaseWorker  env = SimpleNamespace(home_abs=Path('/Users/agi'), agi_share_dir=Path('/Users/agi/clustershare'), AGILAB_SHARE=Path('/Users/agi/clustershare'), user='agi') print(BaseWorker._resolve_data_dir(env, 'flight_trajectory/dataset')) PY	2	2025-11-07T18:38:56.555000+00:00	2025-11-07T18:46:01.640000+00:00	1	1	bash -lc PYTHONPATH=src:src/agilab/core/agi-node/src python3 - <<'PY' from types import SimpleNamespace from pathlib import Path from agi_node.agi_dispatcher.base_worker import BaseWorker  env = SimpleNamespace(home_abs=Path('/Users/agi'), agi_share_dir=Path('/Users/agi/clustershare'), AGILAB_SHARE=Path('/Users/agi/clustershare'), user='agi') print(BaseWorker._resolve_data_dir(env, 'flight_trajectory/dataset')) PY
bash -lc apply_patch <<'PATCH' *** Begin Patch *** Update File: docs/source/agi-core-architecture.rst @@  Modules at a glance  ------------------- + +.. figure:: diagrams/agi-core-overview.svg +   :alt: Visual summary of agi_core modules +   :width: 90% + +   Streamlit/CLI entry points call into agi_core before handing work to agi_env +   and agi_cluster.    ``src/agilab/core/agi-core`` ships the following higher-level domains: *** End Patch PATCH	2	2025-11-13T16:34:47.029000+00:00	2025-11-13T16:35:25.250000+00:00	2	1	bash -lc apply_patch <<'PATCH' *** Begin Patch *** Update File: docs/source/agi-core-architecture.rst @@  Modules at a glance  ------------------- + +.. figure:: diagrams/agi-core-overview.svg +   :alt: Visual summary of agi_core modules +   :width: 90% + +   Streamlit/CLI entry points call into agi_core before handing work to agi_env +   and agi_cluster.    ``src/agilab/core/agi-core`` ships the following higher-level domains: *** End Patch PATCH
bash -lc apply_patch <<'PATCH' *** Begin Patch *** Update File: docs/source/architecture.rst @@  .. figure:: Agilab-Overview.svg     :alt: High-level view of AGILab runtime     :width: 100%       AGILab layers from the Streamlit front-end down to worker clusters. + +Component view +-------------- + +.. figure:: diagrams/packages_agi_distributor.svg +   :alt: Package diagram generated from agi_cluster +   :width: 90% + +   Pyreverse snapshot of how the Streamlit entry points, ``agi_core`` façade, +   ``agi_env`` and ``agi_cluster`` exchange data before the workers are started. *** End Patch PATCH	2	2025-11-13T16:25:10.208000+00:00	2025-11-13T16:25:18.091000+00:00	2	1	bash -lc apply_patch <<'PATCH' *** Begin Patch *** Update File: docs/source/architecture.rst @@  .. figure:: Agilab-Overview.svg     :alt: High-level view of AGILab runtime     :width: 100%       AGILab layers from the Streamlit front-end down to worker clusters. + +Component view +-------------- + +.. figure:: diagrams/packages_agi_distributor.svg +   :alt: Package diagram generated from agi_cluster +   :width: 90% + +   Pyreverse snapshot of how the Streamlit entry points, ``agi_core`` façade, +   ``agi_env`` and ``agi_cluster`` exchange data before the workers are started. *** End Patch PATCH
bash -lc apply_patch <<'PATCH' *** Begin Patch *** Update File: docs/source/quick-start.rst @@ -Agilab is a software solution to explore AI for engineering. See -:doc:`documentation <index>` for more information. +Agilab is a software solution to explore AI for engineering. This quick-start +walks you through the minimal steps required to install the framework, open the +Streamlit UI, and run one of the sample apps. For architectural context see +:doc:`architecture` and :doc:`agi-core-architecture`. @@ -Install Agilab -^^^^^^^^^^^^^^ - -If you want to install on a cluster, you need to provide the installer an account that can perform an SSH connection with key authentication or credentials. - -.. code-block:: console - -   mkdir agi-workspace && cd agi-workspace -   uv add agilab -   uv run agilab +Install Agilab +^^^^^^^^^^^^^^ + +1. **Bootstrap a workspace** (keeps project files and the Streamlit cache in a +   single folder):: + +       mkdir ~/agi-workspace && cd ~/agi-workspace + +2. **Install the published wheel** using `uv <https://docs.astral.sh/uv/>`_:: + +       uv add agilab + +3. **Launch the Streamlit UI** (runs inside the managed virtual environment):: + +       uv run agilab + +   The EXECUTE page opens automatically. Point the sidebar to your apps +   directory (defaults to ``~/agi-workspace/src/agilab/apps``). + +4. **Run the sample ``mycode`` app** either from the UI or the CLI +   mirror:: + +       uv run python src/agilab/examples/mycode/AGI_run_mycode.py + +   This script constructs an ``AgiEnv``, bundles the worker, and executes a +   full AGI run so you can inspect the generated logs under +   ``~/log/execute/mycode``. + +If you want to install on a cluster, the installer must have SSH key access or +credentials with permission to deploy workers. See :doc:`cluster` for the full +workflow. @@ -Support -^^^^^^^ - -Email: focus@thalesgroup.com +Next steps +^^^^^^^^^^ + +- :doc:`architecture` – understand how Streamlit, ``agi_core``, ``agi_env`` and +  ``agi_cluster`` fit together. +- :doc:`directory-structure` – explore the repository layout with an annotated +  tree generated by ``docs/gen-docs.py``. +- :doc:`apps-pages` – learn how the EXECUTE/EXPLORE/EDIT Streamlit pages mirror +  the CLI wrappers under ``tools/run_configs``. + +Support +^^^^^^^ + +Email: focus@thalesgroup.com *** End Patch PATCH	2	2025-11-13T16:25:41.216000+00:00	2025-11-13T16:25:55.677000+00:00	2	1	bash -lc apply_patch <<'PATCH' *** Begin Patch *** Update File: docs/source/quick-start.rst @@ -Agilab is a software solution to explore AI for engineering. See -:doc:`documentation <index>` for more information. +Agilab is a software solution to explore AI for engineering. This quick-start +walks you through the minimal steps required to install the framework, open the +Streamlit UI, and run one of the sample apps. For architectural context see +:doc:`architecture` and :doc:`agi-core-architecture`. @@ -Install Agilab -^^^^^^^^^^^^^^ - -If you want to install on a cluster, you need to provide the installer an account that can perform an SSH connection with key authentication or credentials. - -.. code-block:: console - -   mkdir agi-workspace && cd agi-workspace -   uv add agilab -   uv run agilab +Install Agilab +^^^^^^^^^^^^^^ + +1. **Bootstrap a workspace** (keeps project files and the Streamlit cache in a +   single folder):: + +       mkdir ~/agi-workspace && cd ~/agi-workspace + +2. **Install the published wheel** using `uv <https://docs.astral.sh/uv/>`_:: + +       uv add agilab + +3. **Launch the Streamlit UI** (runs inside the managed virtual environment):: + +       uv run agilab + +   The EXECUTE page opens automatically. Point the sidebar to your apps +   directory (defaults to ``~/agi-workspace/src/agilab/apps``). + +4. **Run the sample ``mycode`` app** either from the UI or the CLI +   mirror:: + +       uv run python src/agilab/examples/mycode/AGI_run_mycode.py + +   This script constructs an ``AgiEnv``, bundles the worker, and executes a +   full AGI run so you can inspect the generated logs under +   ``~/log/execute/mycode``. + +If you want to install on a cluster, the installer must have SSH key access or +credentials with permission to deploy workers. See :doc:`cluster` for the full +workflow. @@ -Support -^^^^^^^ - -Email: focus@thalesgroup.com +Next steps +^^^^^^^^^^ + +- :doc:`architecture` – understand how Streamlit, ``agi_core``, ``agi_env`` and +  ``agi_cluster`` fit together. +- :doc:`directory-structure` – explore the repository layout with an annotated +  tree generated by ``docs/gen-docs.py``. +- :doc:`apps-pages` – learn how the EXECUTE/EXPLORE/EDIT Streamlit pages mirror +  the CLI wrappers under ``tools/run_configs``. + +Support +^^^^^^^ + +Email: focus@thalesgroup.com *** End Patch PATCH
