session	files	docs	tests	installs	sample_paths
2025/11/10/rollout-2025-11-10T17-51-12-019a6ead-c077-76a1-90df-98523c24b153.jsonl	158	0	30	14	./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py; /.local/share/uv/python/cpython-3.13.9-macos-aarch64-none/lib/python3.13/asyncio/base_events.py
2025/11/11/rollout-2025-11-11T20-08-25-019a7451-bf99-75f1-878b-a3b4eab61874.jsonl	158	0	15	25	./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py; /Users/agi/PycharmProjects/agilab/pycharm/setup_pycharm.py
2025/11/10/rollout-2025-11-10T08-25-55-019a6ca8-38ee-7f50-ba4f-b07c942111b9.jsonl	127	0	17	20	./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py; /.local/share/uv/python/cpython-3.13.9-macos-aarch64-none/lib/python3.13/pathlib/_local.py
2025/11/12/rollout-2025-11-12T06-20-36-019a7682-381d-70c2-b0f8-5da742f5f74f.jsonl	122	0	19	19	../agilab/src/agilab/core/agi-node/src/agi_node/agi_dispatcher/base_worker.py; ./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py
2025/11/11/rollout-2025-11-11T08-33-51-019a71d5-d863-76d3-bbc8-f0e891563b41.jsonl	112	1	10	21	./install.sh; /Users/agi/PycharmProjects/agilab/pycharm/setup_pycharm.py; /Users/agi/PycharmProjects/agilab/src/agilab/apps/install.py
2025/11/11/rollout-2025-11-11T13-34-01-019a72e8-aa6f-7781-aca3-f71adcae3e00.jsonl	108	0	16	23	./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py; /.local/share/uv/python/cpython-3.13.9-macos-aarch64-none/lib/python3.13/asyncio/base_events.py
2025/11/12/rollout-2025-11-12T08-12-54-019a76e9-0848-7843-b95d-cb58384caf7a.jsonl	90	0	18	19	./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py; //astral.sh/uv/install.sh
2025/11/12/rollout-2025-11-12T09-01-31-019a7715-89de-7720-b959-274e6ccbdc5c.jsonl	68	0	17	13	./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py; /Users/agi/agi-workspace/.venv/lib/python3.12/site-packages/agilab/lab_run.py
2025/11/07/rollout-2025-11-07T08-18-41-019a5d2e-8664-7e13-b095-ceda0519f614.jsonl	65	0	15	12	./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py; /agi-workspace/.venv/lib/python3.12/site-packages/agilab/lab_run.py
2025/11/06/rollout-2025-11-06T14-37-56-019a5963-60be-77a3-853c-4b1c28d93e6e.jsonl	64	0	15	12	./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py; /agi-workspace/.venv/lib/python3.12/site-packages/agilab/lab_run.py
2025/11/06/rollout-2025-11-06T19-33-40-019a5a72-213e-7a51-a889-1e3664ede9c3.jsonl	64	0	15	12	./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py; /agi-workspace/.venv/lib/python3.12/site-packages/agilab/lab_run.py
2025/11/07/rollout-2025-11-07T09-20-52-019a5d67-73dd-79b2-8d8f-86d4f8360c0a.jsonl	64	0	15	12	./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py; /agi-workspace/.venv/lib/python3.12/site-packages/agilab/lab_run.py
2025/11/10/rollout-2025-11-10T10-15-25-019a6d0c-797f-76e0-88ee-e19490687c91.jsonl	64	0	15	12	./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py; /agi-workspace/.venv/lib/python3.12/site-packages/agilab/lab_run.py
2025/11/13/rollout-2025-11-13T18-57-00-019a7e5d-12eb-7a01-8713-b893db6eea13.jsonl	58	1	12	10	./install.sh; .venv/lib/python3.13/site-packages/agilab/AGILAB.py; /Users/agi/agi-workspace/.venv/lib/python3.12/site-packages/agilab/lab_run.py
